ID,Artigo,Ano,Score Total,Fonte,Q1,Q2,Q3,Q4,Q5,Q6,Q7
A1,A Catalog of Data Smells for Coding Tasks,2025,5.0,Scopus,Partially attended to,Fully attended to,Not attended to,Fully attended to,Fully attended to,Partially attended to,Fully attended to
A2,A Pilot Study on AI-Assisted Code Generation with Large Language Models for Software Engineering,2024,0.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to
A3,A Review of Reasoning in Artificial Agents using Large Language Models,2025,0.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to
A4,A Survey of Natural Language-Based Editing of Low-Code Applications Using Large Language Models,2024,0.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to
A5,A Systematic Literature Review of 10 years of Research on Program Synthesis and Natural Language Processing,2024,6.5,Scopus,Partially attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to
A6,A Systematic Literature Review of Large Language Model Applications in Industry,2025,6.0,Scopus,Fully attended to,Fully attended to,Partially attended to,Partially attended to,Fully attended to,Fully attended to,Fully attended to
A7,A Systematic Literature Review on Using Natural Language Processing in Software Requirements Engineering,2024,6.0,Scopus,Fully attended to,Partially attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to,Partially attended to
A8,A Systematic Mapping Study of LLM Applications in Mobile Device Research,2025,0.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to
A9,A Systematic Review of AI-Enabled Frameworks in Requirements Elicitation,2024,6.0,Scopus,Fully attended to,Fully attended to,Partially attended to,Fully attended to,Fully attended to,Partially attended to,Fully attended to
A10,A systematic literature review on logging smell detection,2026,4.5,Scopus,Not attended to,Fully attended to,Not attended to,Partially attended to,Fully attended to,Fully attended to,Fully attended to
A11,AI and Teamwork in Agile Software Development: A Systematic Mapping Study,2026,5.0,Scopus,Partially attended to,Fully attended to,Not attended to,Partially attended to,Fully attended to,Fully attended to,Fully attended to
A12,AI-Based Approaches for Software Tasks Effort Estimation: A Systematic Review of Methods and Trends,2025,5.0,Scopus,Partially attended to,Fully attended to,Partially attended to,Partially attended to,Fully attended to,Partially attended to,Fully attended to
A13,AI-assisted Software Engineering: A tertiary study,2023,0.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to
A14,AI-enabled Software Engineer: A Taxonomy of Challenges and Success Factors,2024,0.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to
A15,Agent design pattern catalogue: A collection of architectural patterns for foundation model based agents,2025,0.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to
A16,Artificial intelligence in web accessibility: A systematic mapping study,2026,5.5,Scopus,Partially attended to,Fully attended to,Fully attended to,Partially attended to,Fully attended to,Partially attended to,Fully attended to
A17,Assessing the Effectiveness of ChatGPT in Secure Code Development: A Systematic Literature Review,2025,5.5,Scopus,Partially attended to,Partially attended to,Fully attended to,Fully attended to,Fully attended to,Partially attended to,Fully attended to
A18,Automatic Extraction and Formalization of Temporal Requirements from Text: A Survey,2025,6.0,Scopus,Fully attended to,Fully attended to,Partially attended to,Fully attended to,Fully attended to,Partially attended to,Fully attended to
A19,Automating Code-Related Tasks Through Transformers: The Impact of Pre-training,2023,3.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Fully attended to,Fully attended to,Fully attended to
A20,Beyond the Systematic: Forecasting Importance and Emergence of Research Areas in Applications of Software Traceability Using NLP,2024,0.0,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to,Not attended to
A21,Code Generation Using Machine Learning: A Systematic Review,2022,6.0,Scopus,Partially attended to,Fully attended to,Fully attended to,Fully attended to,Fully attended to,Partially attended to,Fully attended to
A22,"Decoding ChatGPT: A taxonomy of existing research, current challenges, and possible future directions",2023,0.0,Scopus,,,,,,,
A23,Effectiveness of Generative Artificial Intelligence for Scientific Content Analysis,2023,0.5,Scopus,Not attended to,Not attended to,Not attended to,Not attended to,Partially attended to,Not attended to,Not attended to
